"","district","col_date","wnv_result","pool_size","year","col_year","doy","weeknum","strata","districtnum","dminus","est"
"699","beadle",2016-07-13,0,20,2016,2016,195,28,102,2,8.17724203754111,0.0612944978509943
"700","beadle",2017-07-18,0,3,2017,2017,199,29,102,2,12.1772420375411,0.055622117901156
"701","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"702","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"703","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"704","beadle",2007-07-10,1,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"705","beadle",2017-06-30,0,3,2017,2017,181,26,102,2,-5.82275796245889,0.0293934641362125
"706","beadle",2018-07-26,1,50,2018,2018,207,29,102,2,20.1772420375411,0.0765741018531242
"707","beadle",2018-06-19,0,50,2018,2018,170,24,102,2,-16.8227579624589,0.0128583413507172
"708","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"709","beadle",2015-07-09,0,13,2015,2015,190,27,102,2,3.17724203754111,0.0297235269342889
"710","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"711","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"712","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"713","beadle",2018-06-19,0,50,2018,2018,170,24,102,2,-16.8227579624589,0.0128583413507172
"714","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"715","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"716","beadle",2016-07-15,0,5,2016,2016,197,28,102,2,10.1772420375411,0.0680879188824347
"717","beadle",2017-06-30,0,14,2017,2017,181,26,102,2,-5.82275796245889,0.0293934641362125
"718","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"719","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"720","beadle",2016-07-13,0,10,2016,2016,195,28,102,2,8.17724203754111,0.0612944978509943
"721","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"722","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"723","beadle",2016-07-13,0,18,2016,2016,195,28,102,2,8.17724203754111,0.0612944978509943
"724","beadle",2015-07-28,0,28,2015,2015,209,30,102,2,22.1772420375411,0.0790781807555367
"725","beadle",2008-07-10,0,2,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"726","beadle",2007-07-17,0,50,2007,2007,198,28,102,2,11.1772420375411,0.0894459929711588
"727","beadle",2015-07-09,0,6,2015,2015,190,27,102,2,3.17724203754111,0.0297235269342889
"728","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"729","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"730","beadle",2007-06-19,0,50,2007,2007,170,24,102,2,-16.8227579624589,0.0323523818723903
"731","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"732","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"733","beadle",2015-07-09,0,12,2015,2015,190,27,102,2,3.17724203754111,0.0297235269342889
"734","beadle",2007-06-21,1,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"735","beadle",2007-06-14,0,50,2007,2007,165,23,102,2,-21.8227579624589,0.026840452582869
"736","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"737","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"738","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"739","beadle",2016-07-20,0,17,2016,2016,202,29,102,2,15.1772420375411,0.0882247419475798
"740","beadle",2017-07-06,0,1,2017,2017,187,27,102,2,0.177242037541106,0.0364243191497554
"741","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"742","beadle",2018-07-17,0,50,2018,2018,198,28,102,2,11.1772420375411,0.050207827891986
"743","beadle",2008-07-10,0,50,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"744","beadle",2007-06-19,0,50,2007,2007,170,24,102,2,-16.8227579624589,0.0323523818723903
"745","beadle",2018-06-19,0,50,2018,2018,170,24,102,2,-16.8227579624589,0.0128583413507172
"746","beadle",2008-07-10,0,15,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"747","beadle",2018-07-26,0,50,2018,2018,207,29,102,2,20.1772420375411,0.0765741018531242
"748","beadle",2008-07-29,0,7,2008,2008,211,30,102,2,24.1772420375411,0.0393742627238035
"749","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"750","beadle",2018-07-26,0,50,2018,2018,207,29,102,2,20.1772420375411,0.0765741018531242
"751","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"752","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"753","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"754","beadle",2015-06-25,0,2,2015,2015,176,25,102,2,-10.8227579624589,0.0141316162325708
"755","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"756","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"757","beadle",2006-07-25,0,1,2006,2006,206,30,102,2,19.1772420375411,0.0717947847355449
"758","beadle",2016-07-15,0,9,2016,2016,197,28,102,2,10.1772420375411,0.0680879188824347
"759","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"760","beadle",2007-06-08,0,12,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"761","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"762","beadle",2007-06-08,0,50,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"763","beadle",2018-07-24,0,50,2018,2018,205,29,102,2,18.1772420375411,0.06979224182439
"764","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"765","beadle",2008-07-29,0,50,2008,2008,211,30,102,2,24.1772420375411,0.0393742627238035
"766","beadle",2017-07-06,0,4,2017,2017,187,27,102,2,0.177242037541106,0.0364243191497554
"767","beadle",2016-07-20,0,4,2016,2016,202,29,102,2,15.1772420375411,0.0882247419475798
"768","beadle",2018-07-17,0,50,2018,2018,198,28,102,2,11.1772420375411,0.050207827891986
"769","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"770","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"771","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"772","beadle",2016-07-15,0,22,2016,2016,197,28,102,2,10.1772420375411,0.0680879188824347
"773","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"774","beadle",2015-07-28,0,34,2015,2015,209,30,102,2,22.1772420375411,0.0790781807555367
"775","beadle",2005-07-07,0,50,2005,2005,188,27,102,2,1.17724203754111,0.0186053244770495
"776","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"777","beadle",2008-07-10,0,50,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"778","beadle",2007-06-08,0,50,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"779","beadle",2008-07-29,0,50,2008,2008,211,30,102,2,24.1772420375411,0.0393742627238035
"780","beadle",2007-07-26,0,7,2007,2007,207,29,102,2,20.1772420375411,0.12196046839713
"781","beadle",2018-07-10,0,50,2018,2018,191,27,102,2,4.17724203754111,0.0359068653699621
"782","beadle",2018-07-06,0,50,2018,2018,187,26,102,2,0.177242037541106,0.029587584277649
"783","beadle",2017-07-18,0,1,2017,2017,199,29,102,2,12.1772420375411,0.055622117901156
"784","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"785","beadle",2007-06-26,0,50,2007,2007,177,25,102,2,-9.82275796245889,0.0419372104440529
"786","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"787","beadle",2007-07-05,0,39,2007,2007,186,26,102,2,-0.822757962458894,0.0582872860532095
"788","beadle",2007-07-19,0,50,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"789","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"790","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"791","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"792","beadle",2007-06-19,0,50,2007,2007,170,24,102,2,-16.8227579624589,0.0323523818723903
"793","beadle",2016-07-20,0,5,2016,2016,202,29,102,2,15.1772420375411,0.0882247419475798
"794","beadle",2015-07-28,0,4,2015,2015,209,30,102,2,22.1772420375411,0.0790781807555367
"795","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"796","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"797","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"798","beadle",2008-07-10,0,50,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"799","beadle",2016-07-06,0,40,2016,2016,188,27,102,2,1.17724203754111,0.042204099306503
"800","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"801","beadle",2007-07-10,1,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"802","beadle",2016-07-15,0,4,2016,2016,197,28,102,2,10.1772420375411,0.0680879188824347
"803","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"804","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"805","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"806","beadle",2007-06-14,0,50,2007,2007,165,23,102,2,-21.8227579624589,0.026840452582869
"807","beadle",2007-06-14,0,50,2007,2007,165,23,102,2,-21.8227579624589,0.026840452582869
"808","beadle",2019-06-25,0,50,2019,2019,176,25,102,2,-10.8227579624589,0.00947302688202459
"809","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"810","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"811","beadle",2017-07-25,0,5,2017,2017,206,30,102,2,19.1772420375411,0.0708796270117073
"812","beadle",2007-06-26,0,40,2007,2007,177,25,102,2,-9.82275796245889,0.0419372104440529
"813","beadle",2007-06-26,0,50,2007,2007,177,25,102,2,-9.82275796245889,0.0419372104440529
"814","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"815","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"816","beadle",2007-06-26,0,50,2007,2007,177,25,102,2,-9.82275796245889,0.0419372104440529
"817","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"818","beadle",2017-06-20,0,2,2017,2017,171,25,102,2,-15.8227579624589,0.0204982148583279
"819","beadle",2008-07-10,0,50,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"820","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"821","beadle",2007-06-21,1,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"822","beadle",2018-07-26,0,50,2018,2018,207,29,102,2,20.1772420375411,0.0765741018531242
"823","beadle",2009-07-14,0,50,2009,2009,195,28,102,2,8.17724203754111,0.0227487663584444
"824","beadle",2007-06-28,0,10,2007,2007,179,25,102,2,-7.82275796245889,0.0451416880830306
"825","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"826","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"827","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"828","beadle",2007-06-28,0,50,2007,2007,179,25,102,2,-7.82275796245889,0.0451416880830306
"829","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"830","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"831","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"832","beadle",2007-07-10,1,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"833","beadle",2017-06-20,0,9,2017,2017,171,25,102,2,-15.8227579624589,0.0204982148583279
"834","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"835","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"836","beadle",2007-06-12,0,50,2007,2007,163,23,102,2,-23.8227579624589,0.024901246732166
"837","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"838","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"839","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"840","beadle",2007-06-19,0,26,2007,2007,170,24,102,2,-16.8227579624589,0.0323523818723903
"841","beadle",2007-06-08,0,50,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"842","beadle",2008-07-08,0,50,2008,2008,190,27,102,2,3.17724203754111,0.0139951801454961
"843","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"844","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"845","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"846","beadle",2007-06-12,0,50,2007,2007,163,23,102,2,-23.8227579624589,0.024901246732166
"847","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"848","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"849","beadle",2008-07-24,0,1,2008,2008,206,29,102,2,19.1772420375411,0.0308594467310693
"850","beadle",2015-07-09,0,7,2015,2015,190,27,102,2,3.17724203754111,0.0297235269342889
"851","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"852","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"853","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"854","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"855","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"856","beadle",2007-07-19,1,50,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"857","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"858","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"859","beadle",2018-07-24,0,50,2018,2018,205,29,102,2,18.1772420375411,0.06979224182439
"860","beadle",2007-07-12,0,8,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"861","beadle",2017-07-27,0,15,2017,2017,208,30,102,2,21.1772420375411,0.0759041967511168
"862","beadle",2007-06-12,0,50,2007,2007,163,23,102,2,-23.8227579624589,0.024901246732166
"863","beadle",2018-07-06,0,50,2018,2018,187,26,102,2,0.177242037541106,0.029587584277649
"864","beadle",2018-07-10,1,50,2018,2018,191,27,102,2,4.17724203754111,0.0359068653699621
"865","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"866","beadle",2019-07-16,1,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"867","beadle",2007-06-26,0,50,2007,2007,177,25,102,2,-9.82275796245889,0.0419372104440529
"868","beadle",2007-06-08,0,50,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"869","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"870","beadle",2007-07-05,0,4,2007,2007,186,26,102,2,-0.822757962458894,0.0582872860532095
"871","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"872","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"873","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"874","beadle",2007-06-12,0,50,2007,2007,163,23,102,2,-23.8227579624589,0.024901246732166
"875","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"876","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"877","beadle",2007-06-12,1,50,2007,2007,163,23,102,2,-23.8227579624589,0.024901246732166
"878","beadle",2008-07-29,0,30,2008,2008,211,30,102,2,24.1772420375411,0.0393742627238035
"879","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"880","beadle",2018-07-06,0,50,2018,2018,187,26,102,2,0.177242037541106,0.029587584277649
"881","beadle",2018-07-17,0,50,2018,2018,198,28,102,2,11.1772420375411,0.050207827891986
"882","beadle",2007-07-19,0,50,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"883","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"884","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"885","beadle",2018-07-10,1,50,2018,2018,191,27,102,2,4.17724203754111,0.0359068653699621
"886","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"887","beadle",2017-06-20,0,2,2017,2017,171,25,102,2,-15.8227579624589,0.0204982148583279
"888","beadle",2015-07-28,0,27,2015,2015,209,30,102,2,22.1772420375411,0.0790781807555367
"889","beadle",2007-07-26,1,50,2007,2007,207,29,102,2,20.1772420375411,0.12196046839713
"890","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"891","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"892","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"893","beadle",2017-07-25,0,29,2017,2017,206,30,102,2,19.1772420375411,0.0708796270117073
"894","beadle",2007-06-27,0,17,2007,2007,178,25,102,2,-8.82275796245889,0.043511299901384
"895","beadle",2007-07-17,0,50,2007,2007,198,28,102,2,11.1772420375411,0.0894459929711588
"896","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"897","beadle",2008-07-10,0,50,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"898","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"899","beadle",2007-07-19,1,50,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"900","beadle",2007-06-12,0,50,2007,2007,163,23,102,2,-23.8227579624589,0.024901246732166
"901","beadle",2017-06-20,0,12,2017,2017,171,25,102,2,-15.8227579624589,0.0204982148583279
"902","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"903","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"904","beadle",2018-07-31,1,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"905","beadle",2016-07-13,0,36,2016,2016,195,28,102,2,8.17724203754111,0.0612944978509943
"906","beadle",2015-07-07,0,35,2015,2015,188,27,102,2,1.17724203754111,0.0267491977268002
"907","beadle",2007-06-19,0,50,2007,2007,170,24,102,2,-16.8227579624589,0.0323523818723903
"908","beadle",2007-06-08,0,50,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"909","beadle",2015-07-07,0,7,2015,2015,188,27,102,2,1.17724203754111,0.0267491977268002
"910","beadle",2008-07-08,0,2,2008,2008,190,27,102,2,3.17724203754111,0.0139951801454961
"911","beadle",2017-07-27,0,13,2017,2017,208,30,102,2,21.1772420375411,0.0759041967511168
"912","beadle",2005-07-07,0,1,2005,2005,188,27,102,2,1.17724203754111,0.0186053244770495
"913","beadle",2018-07-12,0,50,2018,2018,193,27,102,2,6.17724203754111,0.0395359594416987
"914","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"915","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"916","beadle",2007-07-19,0,50,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"917","beadle",2015-06-25,0,16,2015,2015,176,25,102,2,-10.8227579624589,0.0141316162325708
"918","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"919","beadle",2018-07-03,0,50,2018,2018,184,26,102,2,-2.82275796245889,0.0255696602002863
"920","beadle",2018-07-06,0,50,2018,2018,187,26,102,2,0.177242037541106,0.029587584277649
"921","beadle",2018-07-06,0,50,2018,2018,187,26,102,2,0.177242037541106,0.029587584277649
"922","beadle",2018-07-10,1,50,2018,2018,191,27,102,2,4.17724203754111,0.0359068653699621
"923","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"924","beadle",2017-07-18,0,1,2017,2017,199,29,102,2,12.1772420375411,0.055622117901156
"925","beadle",2008-07-01,0,1,2008,2008,183,26,102,2,-3.82275796245889,0.00986898598456232
"926","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"927","beadle",2018-07-12,0,50,2018,2018,193,27,102,2,6.17724203754111,0.0395359594416987
"928","beadle",2008-07-10,0,4,2008,2008,192,27,102,2,5.17724203754111,0.0154595118001604
"929","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"930","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"931","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
